#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
1          198696268032019      84.345             0.002              0.0                compact            zams               end                events         296129577771890  
2          620391775281558      12.389             0.002              0.0                compact            zams               end                events         374275214370404  
3          317195393270968      11.587             0.002              0.0                compact            zams               end                events         331331057317531  
4          672814526201525      12.144             0.002              0.0                compact            zams               end                events         2659083864376    
5          254950031372452      12.954             0.002              0.0                compact            zams               end                events         65978854810901   
6          826974768393039      33.389             0.002              0.0                compact            zams               end                events         193378190638008  
7          311137604451286      35.045             0.002              0.0                compact            zams               end                events         352535134774117  
8          611555990288352      11.057             0.002              0.0                compact            zams               end                events         925105818779509  
9          316822123567307      13.740             0.002              0.0                compact            zams               end                events         23726901124042   
10         284958052983067      16.589             0.002              0.0                compact            zams               end                events         19861083854562   
11         457473907280792      17.307             0.002              0.0                compact            zams               end                events         215714381933343  
12         226811299327207      10.543             0.002              0.0                compact            zams               end                events         940867538534660  
13         918312958863771      45.376             0.002              0.0                compact            zams               end                events         441726998903895  
14         718940839260141      29.010             0.002              0.0                compact            zams               end                events         994536341776665  
15         200215040010573      107.128            0.002              0.0                compact            zams               end                events         723396763645887  
16         287655855017136      37.068             0.002              0.0                compact            zams               end                events         533330837437065  
17         539344479550739      10.638             0.002              0.0                compact            zams               end                events         938460171408276  
18         686513143020996      28.980             0.002              0.0                compact            zams               end                events         720246922529842  
19         501193182042794      48.740             0.002              0.0                compact            zams               end                events         869513824735091  
20         733616296633665      17.137             0.002              0.0                compact            zams               end                events         234478726451487  
21         418178476632196      32.918             0.002              0.0                compact            zams               end                events         486721741223525  
22         667175904637754      14.805             0.002              0.0                compact            zams               end                events         973287692213851  
23         740586262241836      22.594             0.002              0.0                compact            zams               end                events         176654471170939  
24         716546982975089      12.610             0.002              0.0                compact            zams               end                events         225518307896165  
25         955217444725986      15.256             0.002              0.0                compact            zams               end                events         355935865692873  
26         888285803689744      15.249             0.002              0.0                compact            zams               end                events         428410762711461  
27         130232344853813      31.446             0.002              0.0                compact            zams               end                events         68626982339954   
28         192468075764922      94.128             0.002              0.0                compact            zams               end                events         557544375180251  
29         959914115260993      12.345             0.002              0.0                compact            zams               end                events         524046167003594  
30         181845664440232      23.208             0.002              0.0                compact            zams               end                events         855606790693266  
31         628247089964677      17.480             0.002              0.0                compact            zams               end                events         213153418240070  
32         864892128578362      15.270             0.002              0.0                compact            zams               end                events         243277103879130  
33         474780899154466      20.246             0.002              0.0                compact            zams               end                events         498129691299083  
34         470198259342270      12.015             0.002              0.0                compact            zams               end                events         257780917430997  
