#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
71         970481672490941      10.485             0.002              0.0                rapid              zams               end                events         835927812730631  
72         962972188398990      10.915             0.002              0.0                rapid              zams               end                events         594607426004648  
73         188797946592436      38.592             0.002              0.0                rapid              zams               end                events         686632083038914  
74         122484248693871      20.796             0.002              0.0                rapid              zams               end                events         136310313683921  
75         994686294470304      12.404             0.002              0.0                rapid              zams               end                events         134167356672143  
76         865456825319655      38.036             0.002              0.0                rapid              zams               end                events         476310753037040  
77         685448412350551      10.089             0.002              0.0                rapid              zams               end                events         145875200605259  
78         813559992957954      15.471             0.002              0.0                rapid              zams               end                events         353608442050984  
79         264616609170659      21.596             0.002              0.0                rapid              zams               end                events         361829258237512  
80         654784455733894      10.800             0.002              0.0                rapid              zams               end                events         671368227510531  
81         808484535898641      13.359             0.002              0.0                rapid              zams               end                events         46055634931135   
82         262259646256664      14.441             0.002              0.0                rapid              zams               end                events         79783583679845   
83         158548393647854      12.062             0.002              0.0                rapid              zams               end                events         128162918950254  
84         725845929874054      24.408             0.002              0.0                rapid              zams               end                events         826676151985572  
85         915846376379681      22.724             0.002              0.0                rapid              zams               end                events         576731758562817  
86         683832032470036      84.326             0.002              0.0                rapid              zams               end                events         430621160642968  
87         543498270464452      21.655             0.002              0.0                rapid              zams               end                events         201734278608692  
88         846730761599875      14.483             0.002              0.0                rapid              zams               end                events         26547514636853   
89         310601281337082      42.942             0.002              0.0                rapid              zams               end                events         329902517292493  
90         512065924116095      11.047             0.002              0.0                rapid              zams               end                events         747666552891915  
91         992572446579442      22.011             0.002              0.0                rapid              zams               end                events         395859034513374  
92         676068291259494      52.683             0.002              0.0                rapid              zams               end                events         848792514947456  
93         548350612628888      20.050             0.002              0.0                rapid              zams               end                events         347870422226640  
94         776859698865283      42.256             0.002              0.0                rapid              zams               end                events         636802675175594  
95         981964862618090      21.583             0.002              0.0                rapid              zams               end                events         498668883838637  
96         856371470693023      15.147             0.002              0.0                rapid              zams               end                events         531564690698877  
97         770074124808414      111.080            0.002              0.0                rapid              zams               end                events         327324643381927  
98         323021263537174      14.843             0.002              0.0                rapid              zams               end                events         605010794873466  
99         432070035441437      11.173             0.002              0.0                rapid              zams               end                events         224075460060966  
100        138199355860498      11.191             0.002              0.0                rapid              zams               end                events         556583043386895  
101        819771389099234      13.513             0.002              0.0                rapid              zams               end                events         789480062701121  
102        363388924274344      23.715             0.002              0.0                rapid              zams               end                events         337231935160928  
103        254747077084995      19.121             0.002              0.0                rapid              zams               end                events         295902035889190  
104        306946772623695      13.057             0.002              0.0                rapid              zams               end                events         422732665783117  
105        317613154940460      15.522             0.002              0.0                rapid              zams               end                events         844961945195466  
106        753727880777061      32.489             0.002              0.0                rapid              zams               end                events         746841692957214  
107        362981501018241      20.609             0.002              0.0                rapid              zams               end                events         606614160120360  
108        962846762066311      19.626             0.002              0.0                rapid              zams               end                events         790151552797225  
109        636866954862333      104.512            0.002              0.0                rapid              zams               end                events         35975010056341   
110        787842601761354      17.851             0.002              0.0                rapid              zams               end                events         756597759041250  
111        537934392551945      86.047             0.002              0.0                rapid              zams               end                events         649429403924031  
112        189146765770192      16.768             0.002              0.0                rapid              zams               end                events         500079694152867  
113        549721828118125      29.290             0.002              0.0                rapid              zams               end                events         58088594565387   
114        211569241561559      11.273             0.002              0.0                rapid              zams               end                events         474696242402009  
115        591837257538085      29.622             0.002              0.0                rapid              zams               end                events         811386801525737  
116        893367133177639      11.470             0.002              0.0                rapid              zams               end                events         286600282104814  
117        310092324320430      12.764             0.002              0.0                rapid              zams               end                events         860229190705268  
118        433002481828283      41.857             0.002              0.0                rapid              zams               end                events         749964846857589  
119        718729874475751      10.626             0.002              0.0                rapid              zams               end                events         100190300785337  
120        418956255175019      19.679             0.002              0.0                rapid              zams               end                events         605374799672050  
121        297112223085201      29.211             0.002              0.0                rapid              zams               end                events         104894122725660  
122        357137874755334      10.640             0.002              0.0                rapid              zams               end                events         554021388641292  
