#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
59         141753556052315      66.950             0.002              0.0                compact            zams               end                events         264937138470062  
60         385501223505977      13.854             0.002              0.0                compact            zams               end                events         203130874043801  
61         925640391010915      34.826             0.002              0.0                compact            zams               end                events         662612112519918  
62         836561058804693      34.594             0.002              0.0                compact            zams               end                events         253506877196582  
63         205977093115599      10.273             0.002              0.0                compact            zams               end                events         702079976065684  
64         775487898193438      11.411             0.002              0.0                compact            zams               end                events         575109994768314  
65         398524158933144      34.255             0.002              0.0                compact            zams               end                events         40466304811792   
66         949626275940492      16.120             0.002              0.0                compact            zams               end                events         373780562082579  
67         471779161853663      22.325             0.002              0.0                compact            zams               end                events         102082620007816  
68         114904953426530      10.370             0.002              0.0                compact            zams               end                events         514530066152321  
69         739038344005824      13.234             0.002              0.0                compact            zams               end                events         494690847021460  
70         110401279848400      29.193             0.002              0.0                compact            zams               end                events         360505068075577  
71         538376484843412      10.485             0.002              0.0                compact            zams               end                events         442314545051879  
72         365642943401482      10.915             0.002              0.0                compact            zams               end                events         956645156095241  
73         900425354905425      38.592             0.002              0.0                compact            zams               end                events         413966200576128  
74         776640456814991      20.796             0.002              0.0                compact            zams               end                events         924638385136597  
75         616071983985748      12.404             0.002              0.0                compact            zams               end                events         353126616106525  
76         534230406564474      38.036             0.002              0.0                compact            zams               end                events         571866335075139  
77         540476697207189      10.089             0.002              0.0                compact            zams               end                events         126098424713052  
78         160445864951653      15.471             0.002              0.0                compact            zams               end                events         499893778637391  
79         696147849250804      21.596             0.002              0.0                compact            zams               end                events         538376747920571  
80         911360401428579      10.800             0.002              0.0                compact            zams               end                events         894058957806583  
81         917731432687716      13.359             0.002              0.0                compact            zams               end                events         36579144220063   
82         777706999340419      14.441             0.002              0.0                compact            zams               end                events         725348943697705  
83         727418181284933      12.062             0.002              0.0                compact            zams               end                events         336348357670681  
84         572354636024918      24.408             0.002              0.0                compact            zams               end                events         692576505372018  
85         806184901303191      22.724             0.002              0.0                compact            zams               end                events         9422879373817    
86         252646461362412      84.326             0.002              0.0                compact            zams               end                events         500888811195322  
87         397717676557141      21.655             0.002              0.0                compact            zams               end                events         326171911157301  
88         499977361825635      14.483             0.002              0.0                compact            zams               end                events         767625833725548  
89         300445463044751      42.942             0.002              0.0                compact            zams               end                events         147831841897510  
90         811955925694451      11.047             0.002              0.0                compact            zams               end                events         777263819292462  
91         287189292659076      22.011             0.002              0.0                compact            zams               end                events         487236024796593  
92         606610743054960      52.683             0.002              0.0                compact            zams               end                events         467820725616966  
93         119770956555044      20.050             0.002              0.0                compact            zams               end                events         356011622433504  
94         791943926926267      42.256             0.002              0.0                compact            zams               end                events         128395206179249  
95         275939599245294      21.583             0.002              0.0                compact            zams               end                events         195884963317551  
96         907766515459803      15.147             0.002              0.0                compact            zams               end                events         105914521119177  
97         915025174418619      111.080            0.002              0.0                compact            zams               end                events         301918675998521  
98         938000957557172      14.843             0.002              0.0                compact            zams               end                events         213740204775173  
99         712813145766710      11.173             0.002              0.0                compact            zams               end                events         264423413900504  
100        497166496267108      11.191             0.002              0.0                compact            zams               end                events         947406131826034  
101        367683740013361      13.513             0.002              0.0                compact            zams               end                events         688569256221429  
102        144529791100521      23.715             0.002              0.0                compact            zams               end                events         868674894254732  
103        330343078041673      19.121             0.002              0.0                compact            zams               end                events         824308638291234  
104        593321350489204      13.057             0.002              0.0                compact            zams               end                events         984716825296301  
105        574311068243970      15.522             0.002              0.0                compact            zams               end                events         709786120330184  
106        111975253420395      32.489             0.002              0.0                compact            zams               end                events         626724778397134  
107        499794129302181      20.609             0.002              0.0                compact            zams               end                events         697385021870522  
108        172787217594777      19.626             0.002              0.0                compact            zams               end                events         410161338325753  
109        354142020574480      104.512            0.002              0.0                compact            zams               end                events         299801347783563  
110        793486137076074      17.851             0.002              0.0                compact            zams               end                events         452481794183261  
111        590492526907298      86.047             0.002              0.0                compact            zams               end                events         642985944060547  
112        675048041301396      16.768             0.002              0.0                compact            zams               end                events         485028602732325  
113        412830515311483      29.290             0.002              0.0                compact            zams               end                events         542388129290082  
114        662856358913385      11.273             0.002              0.0                compact            zams               end                events         986688960440152  
115        584239056614392      29.622             0.002              0.0                compact            zams               end                events         29096812001201   
116        398586122172783      11.470             0.002              0.0                compact            zams               end                events         355933770337656  
117        596093897585431      12.764             0.002              0.0                compact            zams               end                events         720569224537562  
118        246966057704244      41.857             0.002              0.0                compact            zams               end                events         340546261848147  
119        492272185796318      10.626             0.002              0.0                compact            zams               end                events         596876258840017  
120        159222891908428      19.679             0.002              0.0                compact            zams               end                events         381927916259561  
121        339071143342569      29.211             0.002              0.0                compact            zams               end                events         903572895357077  
122        521336866904882      10.640             0.002              0.0                compact            zams               end                events         282782261704300  
123        195918141615132      94.446             0.002              0.0                compact            zams               end                events         373744771207623  
124        742443237155786      10.853             0.002              0.0                compact            zams               end                events         666795731209712  
125        831907907493609      48.893             0.002              0.0                compact            zams               end                events         495746857835516  
126        363758062400701      11.650             0.002              0.0                compact            zams               end                events         825403542151225  
127        763648006798541      12.382             0.002              0.0                compact            zams               end                events         325547049276101  
128        609360517776693      21.007             0.002              0.0                compact            zams               end                events         899403920349233  
129        458977628911466      12.666             0.002              0.0                compact            zams               end                events         223904783080705  
130        228761584847672      20.090             0.002              0.0                compact            zams               end                events         160956929389330  
131        599071342147626      14.697             0.002              0.0                compact            zams               end                events         587824763567137  
132        699371297501857      25.786             0.002              0.0                compact            zams               end                events         894675832774407  
133        412290870815155      32.000             0.002              0.0                compact            zams               end                events         906755766908732  
134        172253208511883      12.774             0.002              0.0                compact            zams               end                events         549172453400782  
135        759737652721990      12.171             0.002              0.0                compact            zams               end                events         232709684183381  
136        941425235791230      30.786             0.002              0.0                compact            zams               end                events         19717294069178   
137        198321537720222      18.416             0.002              0.0                compact            zams               end                events         261592652948722  
138        108549304338326      13.414             0.002              0.0                compact            zams               end                events         224867254900186  
139        552752494908221      35.916             0.002              0.0                compact            zams               end                events         324395635723498  
140        226932538318109      40.352             0.002              0.0                compact            zams               end                events         809453127683526  
141        166103283672943      143.531            0.002              0.0                compact            zams               end                events         348233857391016  
142        967023076900908      36.967             0.002              0.0                compact            zams               end                events         919141528349777  
143        996728607787756      13.063             0.002              0.0                compact            zams               end                events         702443161738260  
144        700634552846434      15.994             0.002              0.0                compact            zams               end                events         428782551404343  
145        675722659962389      11.781             0.002              0.0                compact            zams               end                events         65900894906671   
146        735487601097980      69.758             0.002              0.0                compact            zams               end                events         978314114590281  
147        165039284706415      34.300             0.002              0.0                compact            zams               end                events         210785927755717  
148        113334923582730      23.061             0.002              0.0                compact            zams               end                events         780878618650607  
149        813782032566170      30.139             0.002              0.0                compact            zams               end                events         287184475924686  
150        611173820169559      13.798             0.002              0.0                compact            zams               end                events         208678751763380  
