#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
494        922602616396952      5.697              0.002              0.0                delayed            zams               2.093              0.002              0.0                delayed            zams               19.6               0.0161             end                events         702402884655054  
495        627069471853998      5.762              0.002              0.0                delayed            zams               2.085              0.002              0.0                delayed            zams               77.2               0.6                end                events         654410253941123  
496        803431247976010      11.265             0.002              0.0                delayed            zams               4.891              0.002              0.0                delayed            zams               8.95e+03           0.654              end                events         386746996440638  
497        597590694679614      9.745              0.002              0.0                delayed            zams               4.639              0.002              0.0                delayed            zams               18.1               0.0307             end                events         260015188640335  
498        420311959005246      5.129              0.002              0.0                delayed            zams               3.172              0.002              0.0                delayed            zams               219                0.444              end                events         307973816080298  
499        181460413487077      5.988              0.002              0.0                delayed            zams               5.934              0.002              0.0                delayed            zams               38.5               0.249              end                events         724204205556837  
500        773158856176745      13.859             0.002              0.0                delayed            zams               2.965              0.002              0.0                delayed            zams               112                0.598              end                events         740960664872864  
502        192298264025733      6.879              0.002              0.0                delayed            zams               2.643              0.002              0.0                delayed            zams               344                0.323              end                events         669652285373595  
503        265946226180493      11.514             0.002              0.0                delayed            zams               11.247             0.002              0.0                delayed            zams               522                0.026              end                events         715560892291868  
504        670747593107999      22.604             0.002              0.0                delayed            zams               21.299             0.002              0.0                delayed            zams               24.4               0.02               end                events         711212598597801  
505        843495337174555      5.986              0.002              0.0                delayed            zams               4.301              0.002              0.0                delayed            zams               31                 0.497              end                events         384624841961723  
506        251613060949427      38.570             0.002              0.0                delayed            zams               33.935             0.002              0.0                delayed            zams               28.7               0.0194             end                events         790287315995292  
507        205604352593179      24.835             0.002              0.0                delayed            zams               21.278             0.002              0.0                delayed            zams               3.04e+03           0.00827            end                events         884054897968883  
508        945123974164898      66.086             0.002              0.0                delayed            zams               33.184             0.002              0.0                delayed            zams               4.57e+04           0.415              end                events         349930376807054  
509        767001384762515      16.323             0.002              0.0                delayed            zams               16.213             0.002              0.0                delayed            zams               147                0.203              end                events         677764917113238  
510        694395904150374      40.225             0.002              0.0                delayed            zams               39.072             0.002              0.0                delayed            zams               1.39e+04           0.0218             end                events         143497891094226  
511        656422125065032      6.492              0.002              0.0                delayed            zams               6.054              0.002              0.0                delayed            zams               111                0.713              end                events         524474789799917  
513        888945749329476      30.636             0.002              0.0                delayed            zams               19.214             0.002              0.0                delayed            zams               922                0.819              end                events         153453412624423  
