#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
53         906788737870525      65.632             0.002              0.0                compact            zams               14.682             0.002              0.0                compact            zams               4.83e+03           0.22               end                events         939571283179754  
54         559915287787616      23.328             0.002              0.0                compact            zams               4.238              0.002              0.0                compact            zams               230                0.399              end                events         488305560842502  
55         235255500014994      12.163             0.002              0.0                compact            zams               2.254              0.002              0.0                compact            zams               38.2               0.00538            end                events         93832363244069   
56         894261064816124      74.864             0.002              0.0                compact            zams               56.544             0.002              0.0                compact            zams               8.54e+03           0.0469             end                events         950057708417162  
57         173296074239044      6.027              0.002              0.0                compact            zams               4.146              0.002              0.0                compact            zams               52.3               0.153              end                events         761570366999403  
58         383883969642152      7.336              0.002              0.0                compact            zams               2.065              0.002              0.0                compact            zams               1.61e+03           0.182              end                events         484163380831924  
59         909852691514621      26.957             0.002              0.0                compact            zams               22.701             0.002              0.0                compact            zams               177                0.139              end                events         56323448237709   
60         100894940497854      15.771             0.002              0.0                compact            zams               5.023              0.002              0.0                compact            zams               71.4               0.0688             end                events         708679584135414  
61         935112886223421      14.057             0.002              0.0                compact            zams               9.809              0.002              0.0                compact            zams               265                0.311              end                events         42669704871310   
62         909763585844430      22.498             0.002              0.0                compact            zams               13.604             0.002              0.0                compact            zams               32.4               0.00499            end                events         332352491708524  
64         564903336033732      17.803             0.002              0.0                compact            zams               7.703              0.002              0.0                compact            zams               1.98e+04           0.00352            end                events         855957376120700  
65         996609099667872      64.005             0.002              0.0                compact            zams               44.677             0.002              0.0                compact            zams               3.25e+03           0.00566            end                events         762305510276622  
66         626019029507986      29.778             0.002              0.0                compact            zams               6.280              0.002              0.0                compact            zams               184                0.623              end                events         928450153591799  
67         878105674504118      6.919              0.002              0.0                compact            zams               2.507              0.002              0.0                compact            zams               1.14e+04           0.396              end                events         489629030533885  
68         232524054834794      5.085              0.002              0.0                compact            zams               3.120              0.002              0.0                compact            zams               1.46e+04           0.952              end                events         519664484302747  
69         783969395563513      13.009             0.002              0.0                compact            zams               12.773             0.002              0.0                compact            zams               309                0.115              end                events         148985397835760  
71         515507665564950      7.579              0.002              0.0                compact            zams               3.212              0.002              0.0                compact            zams               2.55e+04           0.805              end                events         861954069014177  
72         812873318706386      5.609              0.002              0.0                compact            zams               3.867              0.002              0.0                compact            zams               71.7               0.671              end                events         390385902928769  
73         995667657405961      17.330             0.002              0.0                compact            zams               2.256              0.002              0.0                compact            zams               218                0.488              end                events         652268934498642  
74         884127665579003      8.021              0.002              0.0                compact            zams               6.658              0.002              0.0                compact            zams               5.06e+03           0.396              end                events         615908300598326  
75         437333738892450      26.153             0.002              0.0                compact            zams               5.102              0.002              0.0                compact            zams               5.67e+03           0.732              end                events         560164604811658  
76         922638875666236      14.040             0.002              0.0                compact            zams               10.044             0.002              0.0                compact            zams               1.09e+03           0.323              end                events         46312086853127   
78         829322706571123      11.358             0.002              0.0                compact            zams               2.972              0.002              0.0                compact            zams               30.5               0.0989             end                events         665742704291497  
79         370516123496905      11.853             0.002              0.0                compact            zams               5.340              0.002              0.0                compact            zams               89.5               0.0305             end                events         341671765634297  
81         189565654257833      7.730              0.002              0.0                compact            zams               3.056              0.002              0.0                compact            zams               206                0.0669             end                events         841141390347344  
82         842437669106259      5.666              0.002              0.0                compact            zams               2.310              0.002              0.0                compact            zams               154                0.0134             end                events         361075880508939  
83         126737693978710      12.837             0.002              0.0                compact            zams               11.216             0.002              0.0                compact            zams               6.86e+03           0.332              end                events         544356562411967  
85         644269144513873      20.869             0.002              0.0                compact            zams               5.328              0.002              0.0                compact            zams               135                0.00241            end                events         953559066092744  
87         739179033381058      5.640              0.002              0.0                compact            zams               4.402              0.002              0.0                compact            zams               180                0.0267             end                events         473823909528912  
88         492140345736217      7.319              0.002              0.0                compact            zams               2.056              0.002              0.0                compact            zams               176                0.00376            end                events         590323162157073  
89         844843695808090      11.898             0.002              0.0                compact            zams               9.452              0.002              0.0                compact            zams               21.1               0.0705             end                events         153350025156215  
90         343921798926502      8.340              0.002              0.0                compact            zams               7.323              0.002              0.0                compact            zams               43.5               0.0609             end                events         848117244155281  
91         962872894056156      6.467              0.002              0.0                compact            zams               3.498              0.002              0.0                compact            zams               3.2e+03            0.0871             end                events         331824887451978  
92         583285206578960      11.907             0.002              0.0                compact            zams               3.873              0.002              0.0                compact            zams               27.8               0.198              end                events         283455006147829  
93         126543088145112      7.463              0.002              0.0                compact            zams               5.470              0.002              0.0                compact            zams               1.87e+04           0.839              end                events         514992860944000  
95         333137554206923      5.018              0.002              0.0                compact            zams               4.176              0.002              0.0                compact            zams               632                0.885              end                events         353915393156537  
96         748864429328775      33.173             0.002              0.0                compact            zams               19.753             0.002              0.0                compact            zams               35.3               0.0192             end                events         322951773826520  
97         339675447931417      18.276             0.002              0.0                compact            zams               4.165              0.002              0.0                compact            zams               9.84e+03           0.206              end                events         803866633668011  
98         761016372407432      10.328             0.002              0.0                compact            zams               8.239              0.002              0.0                compact            zams               5.3e+03            0.913              end                events         468198540225378  
99         515842153714963      13.422             0.002              0.0                compact            zams               4.682              0.002              0.0                compact            zams               684                0.211              end                events         416549871669896  
101        307503759209251      13.726             0.002              0.0                compact            zams               10.378             0.002              0.0                compact            zams               2.6e+03            0.334              end                events         479593145539745  
102        394359002577827      7.256              0.002              0.0                compact            zams               2.552              0.002              0.0                compact            zams               189                0.743              end                events         557700381633117  
103        283524531450642      22.014             0.002              0.0                compact            zams               5.891              0.002              0.0                compact            zams               6.93e+03           0.811              end                events         189800235479241  
104        459704477359175      19.324             0.002              0.0                compact            zams               3.920              0.002              0.0                compact            zams               1.05e+04           0.388              end                events         956720466003646  
105        925400417885674      20.187             0.002              0.0                compact            zams               14.055             0.002              0.0                compact            zams               8.38e+03           0.655              end                events         945301255532522  
106        970632927777247      5.488              0.002              0.0                compact            zams               2.356              0.002              0.0                compact            zams               507                0.963              end                events         432617909407511  
107        885059000220804      33.810             0.002              0.0                compact            zams               7.402              0.002              0.0                compact            zams               1.62e+03           0.2                end                events         313784157683770  
108        328129781030387      45.840             0.002              0.0                compact            zams               13.882             0.002              0.0                compact            zams               3.1e+04            0.0901             end                events         81646838769365   
109        585072195998359      68.780             0.002              0.0                compact            zams               46.998             0.002              0.0                compact            zams               98.4               0.000146           end                events         657999441206211  
111        698243383903970      11.166             0.002              0.0                compact            zams               5.407              0.002              0.0                compact            zams               355                0.0212             end                events         313937950387588  
112        328315754112816      13.403             0.002              0.0                compact            zams               4.301              0.002              0.0                compact            zams               22.7               0.0103             end                events         291031930000755  
113        727438370473426      46.973             0.002              0.0                compact            zams               37.741             0.002              0.0                compact            zams               1.03e+03           0.391              end                events         291061359945578  
114        476000169219088      5.451              0.002              0.0                compact            zams               5.056              0.002              0.0                compact            zams               2.88e+04           0.00268            end                events         80264623635808   
