#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
548        590709258691315      10.906             0.002              0.0                compact            zams               2.788              0.002              0.0                compact            zams               513                0.942              end                events         236082477913748  
549        565534663794810      22.121             0.002              0.0                compact            zams               4.703              0.002              0.0                compact            zams               20.8               0.00874            end                events         752279751780086  
550        965622939411348      7.663              0.002              0.0                compact            zams               4.809              0.002              0.0                compact            zams               43.3               0.015              end                events         396363238417164  
551        994571161947495      23.644             0.002              0.0                compact            zams               7.690              0.002              0.0                compact            zams               1.19e+04           0.0335             end                events         630395257482510  
552        182988378211927      6.018              0.002              0.0                compact            zams               5.543              0.002              0.0                compact            zams               60.6               0.119              end                events         752144836888667  
553        618036742714947      30.450             0.002              0.0                compact            zams               28.511             0.002              0.0                compact            zams               663                0.103              end                events         238251731579691  
554        815915094397223      5.386              0.002              0.0                compact            zams               4.420              0.002              0.0                compact            zams               905                0.718              end                events         87979085653570   
555        815101226362971      5.111              0.002              0.0                compact            zams               4.803              0.002              0.0                compact            zams               3.69e+03           0.573              end                events         730603286668244  
556        522105128836889      32.349             0.002              0.0                compact            zams               5.791              0.002              0.0                compact            zams               924                0.221              end                events         786447703987126  
557        389086545349243      9.610              0.002              0.0                compact            zams               5.545              0.002              0.0                compact            zams               33.1               0.0075             end                events         745232978834982  
558        390163701375874      10.155             0.002              0.0                compact            zams               7.869              0.002              0.0                compact            zams               4.79e+03           0.857              end                events         840611932143699  
560        636610537433228      6.187              0.002              0.0                compact            zams               5.143              0.002              0.0                compact            zams               644                0.5                end                events         268435442291423  
561        811913770034402      51.874             0.002              0.0                compact            zams               10.861             0.002              0.0                compact            zams               205                0.563              end                events         708569668405644  
562        326245755101570      9.524              0.002              0.0                compact            zams               7.362              0.002              0.0                compact            zams               39.2               0.552              end                events         658727738032411  
