#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
852        457901226840042      12.587             0.002              0.0                compact            zams               9.728              0.002              0.0                compact            zams               26.2               0.000214           end                events         286222403041894  
877        456845448556366      12.645             0.002              0.0                compact            zams               5.636              0.002              0.0                compact            zams               30.5               0.182              end                events         805663905762628  
885        460577612718482      12.044             0.002              0.0                compact            zams               10.619             0.002              0.0                compact            zams               338                0.0698             end                events         291572415181703  
1831       818228479124891      13.156             0.002              0.0                compact            zams               7.874              0.002              0.0                compact            zams               26.3               0.162              end                events         976308429468965  
