#ID        name                 Mass               Z                  spin               SN                 Tstart             Tend               Dtout              Seed             
54         764826415698390      17.233             0.002              0.0                delayed            zams               end                events         920269123571279  
55         826023665940550      10.943             0.002              0.0                delayed            zams               end                events         44739948907972   
56         506116486650393      19.095             0.002              0.0                delayed            zams               end                events         840970227669694  
57         151103808045984      94.736             0.002              0.0                delayed            zams               end                events         8582928244120    
58         681715764801328      10.226             0.002              0.0                delayed            zams               end                events         625745744560301  
59         390086327355569      66.950             0.002              0.0                delayed            zams               end                events         739415373254857  
60         105814711219763      13.854             0.002              0.0                delayed            zams               end                events         39074755256905   
61         905395660702376      34.826             0.002              0.0                delayed            zams               end                events         999186086249400  
62         800164933961191      34.594             0.002              0.0                delayed            zams               end                events         656338691326094  
63         439735850831172      10.273             0.002              0.0                delayed            zams               end                events         732671442986481  
64         820020801342685      11.411             0.002              0.0                delayed            zams               end                events         735531038656655  
65         462124162432361      34.255             0.002              0.0                delayed            zams               end                events         207899498969356  
66         472967177348156      16.120             0.002              0.0                delayed            zams               end                events         972329727002704  
67         712356919814946      22.325             0.002              0.0                delayed            zams               end                events         308857911062545  
68         417580991657704      10.370             0.002              0.0                delayed            zams               end                events         743047864465256  
69         325402338492737      13.234             0.002              0.0                delayed            zams               end                events         520624746661419  
70         613083861399472      29.193             0.002              0.0                delayed            zams               end                events         821177643235197  
71         184678151740682      10.485             0.002              0.0                delayed            zams               end                events         352149774068161  
72         696550630745272      10.915             0.002              0.0                delayed            zams               end                events         842898842002243  
73         923348038996453      38.592             0.002              0.0                delayed            zams               end                events         746331789760013  
74         577126277637470      20.796             0.002              0.0                delayed            zams               end                events         757820712567372  
75         841985682371348      12.404             0.002              0.0                delayed            zams               end                events         116296302770769  
76         363609113836623      38.036             0.002              0.0                delayed            zams               end                events         760385135553878  
77         650798165224886      10.089             0.002              0.0                delayed            zams               end                events         863632628110117  
78         461714014684488      15.471             0.002              0.0                delayed            zams               end                events         689861752567928  
79         594187835839428      21.596             0.002              0.0                delayed            zams               end                events         983934670655811  
80         503353099488938      10.800             0.002              0.0                delayed            zams               end                events         274150535465620  
81         814031862854316      13.359             0.002              0.0                delayed            zams               end                events         172816412320574  
82         245376645607801      14.441             0.002              0.0                delayed            zams               end                events         839872098859052  
83         712714827783702      12.062             0.002              0.0                delayed            zams               end                events         652295931808810  
84         539065874467396      24.408             0.002              0.0                delayed            zams               end                events         907589516063569  
85         921397409063244      22.724             0.002              0.0                delayed            zams               end                events         864231609245636  
86         808918554228682      84.326             0.002              0.0                delayed            zams               end                events         998279269410992  
87         327982454367320      21.655             0.002              0.0                delayed            zams               end                events         845838298729526  
88         221614796125376      14.483             0.002              0.0                delayed            zams               end                events         406698311640718  
89         488993448257765      42.942             0.002              0.0                delayed            zams               end                events         872377306796819  
90         862208732713714      11.047             0.002              0.0                delayed            zams               end                events         390072759781534  
91         583940991388591      22.011             0.002              0.0                delayed            zams               end                events         530832223523679  
92         673390090886440      52.683             0.002              0.0                delayed            zams               end                events         574177214745092  
93         374606297545059      20.050             0.002              0.0                delayed            zams               end                events         274590973161086  
94         306423046423592      42.256             0.002              0.0                delayed            zams               end                events         244031126004624  
95         181792473086755      21.583             0.002              0.0                delayed            zams               end                events         978762949211765  
96         109950085241794      15.147             0.002              0.0                delayed            zams               end                events         225617156183068  
97         659883119378736      111.080            0.002              0.0                delayed            zams               end                events         572201400539626  
98         249163599287580      14.843             0.002              0.0                delayed            zams               end                events         873979773691859  
99         291558728659149      11.173             0.002              0.0                delayed            zams               end                events         836682902655504  
100        940418731126178      11.191             0.002              0.0                delayed            zams               end                events         358558633120670  
101        227010782384341      13.513             0.002              0.0                delayed            zams               end                events         71314423822258   
102        545084331353369      23.715             0.002              0.0                delayed            zams               end                events         164956468765253  
103        264943530090862      19.121             0.002              0.0                delayed            zams               end                events         84480562308280   
104        705531944758077      13.057             0.002              0.0                delayed            zams               end                events         282978026757924  
105        831659163332431      15.522             0.002              0.0                delayed            zams               end                events         275587621197156  
106        409397511400382      32.489             0.002              0.0                delayed            zams               end                events         372149615092456  
107        554626067680592      20.609             0.002              0.0                delayed            zams               end                events         610857183110270  
108        460866539167303      19.626             0.002              0.0                delayed            zams               end                events         87291916402790   
109        359839031621089      104.512            0.002              0.0                delayed            zams               end                events         996835291823978  
110        272508350935304      17.851             0.002              0.0                delayed            zams               end                events         493999891158741  
111        362176681726048      86.047             0.002              0.0                delayed            zams               end                events         788711161351928  
112        600635507891281      16.768             0.002              0.0                delayed            zams               end                events         522683343970596  
113        200520812268698      29.290             0.002              0.0                delayed            zams               end                events         458756010112014  
114        541230559208697      11.273             0.002              0.0                delayed            zams               end                events         792596366115412  
115        533791794870165      29.622             0.002              0.0                delayed            zams               end                events         639734850011904  
116        751456624978091      11.470             0.002              0.0                delayed            zams               end                events         983588082197363  
117        869786991532108      12.764             0.002              0.0                delayed            zams               end                events         809867437563874  
118        249432994752624      41.857             0.002              0.0                delayed            zams               end                events         511695471284323  
119        155328845518057      10.626             0.002              0.0                delayed            zams               end                events         334792601980984  
120        704758035801242      19.679             0.002              0.0                delayed            zams               end                events         913669046266584  
