#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
628        566360532248014      12.372             0.002              0.0                compact            zams               3.356              0.002              0.0                compact            zams               1.51e+03           0.86               end                events         69162383925413   
885        568658322628743      12.044             0.002              0.0                compact            zams               10.619             0.002              0.0                compact            zams               338                0.0698             end                events         731449337284907  
2963       576274049850804      12.845             0.002              0.0                compact            zams               10.587             0.002              0.0                compact            zams               27.6               0.167              end                events         333344509349648  
2973       564141992199866      12.414             0.002              0.0                compact            zams               6.237              0.002              0.0                compact            zams               510                0.526              end                events         406436842967030  
3756       325996650770662      18.184             0.002              0.0                compact            zams               11.763             0.002              0.0                compact            zams               342                0.281              end                events         115956758857068  
3890       568463426139863      12.932             0.002              0.0                compact            zams               11.902             0.002              0.0                compact            zams               132                0.536              end                events         539971574035409  
3903       865248868670506      12.159             0.002              0.0                compact            zams               7.173              0.002              0.0                compact            zams               31.2               0.0718             end                events         164726584463768  
4771       806840357507157      12.914             0.002              0.0                compact            zams               3.850              0.002              0.0                compact            zams               26                 0.0132             end                events         790277570970640  
4792       715109300493066      14.284             0.002              0.0                compact            zams               13.963             0.002              0.0                compact            zams               187                0.524              end                events         203311519036978  
5696       800928456548897      12.292             0.002              0.0                compact            zams               9.803              0.002              0.0                compact            zams               25.5               0.00444            end                events         13853560480746   
6694       688738413765365      12.682             0.002              0.0                compact            zams               3.309              0.002              0.0                compact            zams               24                 0.222              end                events         722262639354333  
7563       209028963245294      12.379             0.002              0.0                compact            zams               7.499              0.002              0.0                compact            zams               28.2               0.0253             end                events         986509150935142  
7820       577914044485999      12.585             0.002              0.0                compact            zams               3.804              0.002              0.0                compact            zams               145                0.00429            end                events         692917133276066  
8985       549395232056638      13.800             0.002              0.0                compact            zams               13.431             0.002              0.0                compact            zams               977                0.212              end                events         929383136753831  
9523       279237245545160      17.597             0.002              0.0                compact            zams               6.669              0.002              0.0                compact            zams               149                0.105              end                events         962568868303663  
9800       100139959235192      12.667             0.002              0.0                compact            zams               11.139             0.002              0.0                compact            zams               35.1               0.000157           end                events         566492635652936  
9934       883467714801685      13.343             0.002              0.0                compact            zams               13.255             0.002              0.0                compact            zams               189                0.325              end                events         965368683348739  
9998       591728149980621      12.270             0.002              0.0                compact            zams               9.053              0.002              0.0                compact            zams               18.9               0.0116             end                events         377142793438857  
