#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
0          414020793326144      22.304             0.002              0.0                compact            zams               7.562              0.002              0.0                compact            zams               417                0.885              end                events         748255235200645  
1          459583738334865      5.221              0.002              0.0                compact            zams               2.197              0.002              0.0                compact            zams               30.2               0.337              end                events         704344234272266  
3          933335206280637      79.250             0.002              0.0                compact            zams               30.462             0.002              0.0                compact            zams               2.03e+04           0.131              end                events         113089931514799  
4          229866565949580      11.432             0.002              0.0                compact            zams               6.044              0.002              0.0                compact            zams               21.7               0.104              end                events         530908353262454  
5          985839969403041      13.071             0.002              0.0                compact            zams               10.040             0.002              0.0                compact            zams               24.2               0.129              end                events         390050434830692  
6          432806117708317      8.931              0.002              0.0                compact            zams               4.882              0.002              0.0                compact            zams               19.6               0.0185             end                events         566026258793317  
7          636625412861743      5.284              0.002              0.0                compact            zams               3.890              0.002              0.0                compact            zams               1.63e+04           0.307              end                events         884019360488344  
8          808784628300713      62.292             0.002              0.0                compact            zams               50.300             0.002              0.0                compact            zams               1.05e+04           0.00765            end                events         836126482871017  
9          380704702291190      5.669              0.002              0.0                compact            zams               3.684              0.002              0.0                compact            zams               7.72e+03           0.646              end                events         223534957223822  
10         897822263034515      23.476             0.002              0.0                compact            zams               6.416              0.002              0.0                compact            zams               194                0.803              end                events         168633570654932  
11         361676733479456      7.243              0.002              0.0                compact            zams               2.347              0.002              0.0                compact            zams               43.3               0.472              end                events         288392577080252  
12         258704406784448      17.565             0.002              0.0                compact            zams               2.329              0.002              0.0                compact            zams               27.5               0.00477            end                events         786677984640918  
14         284980226381481      8.162              0.002              0.0                compact            zams               3.409              0.002              0.0                compact            zams               4.36e+04           0.514              end                events         342128393336661  
15         821330047191048      14.576             0.002              0.0                compact            zams               9.325              0.002              0.0                compact            zams               36.6               0.0248             end                events         266756959961047  
17         210099704186396      9.470              0.002              0.0                compact            zams               3.167              0.002              0.0                compact            zams               7.02e+03           0.373              end                events         953957538370577  
18         590002432520026      8.534              0.002              0.0                compact            zams               8.510              0.002              0.0                compact            zams               9.27e+03           0.0467             end                events         505407444826273  
19         970563161260113      7.212              0.002              0.0                compact            zams               3.510              0.002              0.0                compact            zams               2.2e+03            0.438              end                events         829551295097397  
21         677481152440532      15.363             0.002              0.0                compact            zams               5.414              0.002              0.0                compact            zams               63.9               0.00106            end                events         408368795693227  
22         977788938077774      22.564             0.002              0.0                compact            zams               15.265             0.002              0.0                compact            zams               55.1               0.135              end                events         12301826603600   
24         844891275793345      6.008              0.002              0.0                compact            zams               3.145              0.002              0.0                compact            zams               3.03e+04           0.0199             end                events         489763978098527  
25         263356143946105      10.786             0.002              0.0                compact            zams               10.662             0.002              0.0                compact            zams               18.7               0.00172            end                events         321235176267465  
26         963112051036307      14.780             0.002              0.0                compact            zams               5.526              0.002              0.0                compact            zams               268                0.251              end                events         414092962048217  
27         432766972734925      5.571              0.002              0.0                compact            zams               2.303              0.002              0.0                compact            zams               1.05e+04           0.025              end                events         914774517520667  
28         580385942823388      17.660             0.002              0.0                compact            zams               14.840             0.002              0.0                compact            zams               267                0.468              end                events         1176484608714    
29         219561653587112      5.415              0.002              0.0                compact            zams               2.343              0.002              0.0                compact            zams               40.1               0.0191             end                events         704287834766846  
30         423207399652756      5.659              0.002              0.0                compact            zams               4.608              0.002              0.0                compact            zams               153                0.39               end                events         989065364965149  
31         148047772974735      12.828             0.002              0.0                compact            zams               4.540              0.002              0.0                compact            zams               69.1               0.25               end                events         710087743680082  
32         721625136708065      16.739             0.002              0.0                compact            zams               5.773              0.002              0.0                compact            zams               4.42e+03           0.0894             end                events         791328860983442  
33         140197792440099      30.495             0.002              0.0                compact            zams               8.690              0.002              0.0                compact            zams               5.03e+03           0.128              end                events         340750388741088  
34         884029518524045      5.932              0.002              0.0                compact            zams               2.700              0.002              0.0                compact            zams               167                0.0166             end                events         39638289574454   
35         344780310832515      10.076             0.002              0.0                compact            zams               8.713              0.002              0.0                compact            zams               450                0.271              end                events         103081940370490  
36         758143075568233      7.828              0.002              0.0                compact            zams               5.558              0.002              0.0                compact            zams               484                0.238              end                events         823803174097672  
37         183421630275771      18.112             0.002              0.0                compact            zams               9.694              0.002              0.0                compact            zams               457                0.198              end                events         708233558923866  
38         129795503588274      36.605             0.002              0.0                compact            zams               31.701             0.002              0.0                compact            zams               1.81e+04           0.121              end                events         566036181406145  
39         191024228649632      15.066             0.002              0.0                compact            zams               4.949              0.002              0.0                compact            zams               4.61e+04           0.0607             end                events         919643389908427  
40         496743455581804      12.231             0.002              0.0                compact            zams               6.760              0.002              0.0                compact            zams               5.52e+03           0.0153             end                events         385799214665517  
41         864413682045296      7.918              0.002              0.0                compact            zams               3.328              0.002              0.0                compact            zams               15.5               0.00692            end                events         70780285444090   
42         890332004966776      9.333              0.002              0.0                compact            zams               3.758              0.002              0.0                compact            zams               51.4               0.327              end                events         714670357912724  
43         791144494859708      6.208              0.002              0.0                compact            zams               4.577              0.002              0.0                compact            zams               91                 0.689              end                events         449004622424937  
44         537099087906002      13.472             0.002              0.0                compact            zams               9.947              0.002              0.0                compact            zams               156                0.0839             end                events         96463056219833   
45         500190321748160      5.713              0.002              0.0                compact            zams               2.546              0.002              0.0                compact            zams               139                0.251              end                events         802043591361028  
46         391108003448707      11.305             0.002              0.0                compact            zams               8.613              0.002              0.0                compact            zams               48.9               0.509              end                events         429072862147629  
47         913055507431466      24.688             0.002              0.0                compact            zams               11.824             0.002              0.0                compact            zams               1.09e+03           0.876              end                events         50416185862320   
48         262897059382780      9.261              0.002              0.0                compact            zams               6.805              0.002              0.0                compact            zams               24                 0.21               end                events         509221670382296  
49         871703007090721      6.055              0.002              0.0                compact            zams               2.483              0.002              0.0                compact            zams               14.6               0.033              end                events         714974175257616  
50         243844233682641      7.162              0.002              0.0                compact            zams               6.963              0.002              0.0                compact            zams               624                0.332              end                events         130909853438382  
51         626344351693650      8.035              0.002              0.0                compact            zams               3.583              0.002              0.0                compact            zams               760                0.642              end                events         669680157167348  
52         757930057832692      18.837             0.002              0.0                compact            zams               5.270              0.002              0.0                compact            zams               504                0.69               end                events         539014360066002  
53         444672519725063      65.632             0.002              0.0                compact            zams               14.682             0.002              0.0                compact            zams               4.83e+03           0.22               end                events         663664091913145  
54         432066676873821      23.328             0.002              0.0                compact            zams               4.238              0.002              0.0                compact            zams               230                0.399              end                events         419265768503989  
55         239528019422670      12.163             0.002              0.0                compact            zams               2.254              0.002              0.0                compact            zams               38.2               0.00538            end                events         258808396600421  
56         589157252878331      74.864             0.002              0.0                compact            zams               56.544             0.002              0.0                compact            zams               8.54e+03           0.0469             end                events         291290541355758  
57         751046760759830      6.027              0.002              0.0                compact            zams               4.146              0.002              0.0                compact            zams               52.3               0.153              end                events         815922608709222  
58         597088651495119      7.336              0.002              0.0                compact            zams               2.065              0.002              0.0                compact            zams               1.61e+03           0.182              end                events         748869994805358  
59         570699696407050      26.957             0.002              0.0                compact            zams               22.701             0.002              0.0                compact            zams               177                0.139              end                events         546910557447553  
60         981816812515264      15.771             0.002              0.0                compact            zams               5.023              0.002              0.0                compact            zams               71.4               0.0688             end                events         380409068167399  
61         676954537172423      14.057             0.002              0.0                compact            zams               9.809              0.002              0.0                compact            zams               265                0.311              end                events         207876303747750  
