#ID        name                 Mass_0             Z_0                spin_0             SN_0               Tstart_0           Mass_1             Z_1                spin_1             SN_1               Tstart_1           a                  e                  Tend               Dtout              Seed             
494        473863511170159      5.697              0.002              0.0                compact            zams               2.093              0.002              0.0                compact            zams               19.6               0.0161             end                events         438953235344659  
495        509545558982672      5.762              0.002              0.0                compact            zams               2.085              0.002              0.0                compact            zams               77.2               0.6                end                events         854548938242108  
496        962122457098935      11.265             0.002              0.0                compact            zams               4.891              0.002              0.0                compact            zams               8.95e+03           0.654              end                events         262807901648584  
497        357829446694969      9.745              0.002              0.0                compact            zams               4.639              0.002              0.0                compact            zams               18.1               0.0307             end                events         575669363860851  
498        786667111664087      5.129              0.002              0.0                compact            zams               3.172              0.002              0.0                compact            zams               219                0.444              end                events         860009652894002  
499        209257372858799      5.988              0.002              0.0                compact            zams               5.934              0.002              0.0                compact            zams               38.5               0.249              end                events         465657714988558  
500        450287782927553      13.859             0.002              0.0                compact            zams               2.965              0.002              0.0                compact            zams               112                0.598              end                events         421707455736714  
502        823229450815233      6.879              0.002              0.0                compact            zams               2.643              0.002              0.0                compact            zams               344                0.323              end                events         57981071298459   
503        454212808759739      11.514             0.002              0.0                compact            zams               11.247             0.002              0.0                compact            zams               522                0.026              end                events         747686652004084  
504        171531806381641      22.604             0.002              0.0                compact            zams               21.299             0.002              0.0                compact            zams               24.4               0.02               end                events         645426265690986  
505        637591510891172      5.986              0.002              0.0                compact            zams               4.301              0.002              0.0                compact            zams               31                 0.497              end                events         938540037221739  
506        191143424560670      38.570             0.002              0.0                compact            zams               33.935             0.002              0.0                compact            zams               28.7               0.0194             end                events         552053261513319  
507        934071533983484      24.835             0.002              0.0                compact            zams               21.278             0.002              0.0                compact            zams               3.04e+03           0.00827            end                events         968631301805524  
508        244737633301547      66.086             0.002              0.0                compact            zams               33.184             0.002              0.0                compact            zams               4.57e+04           0.415              end                events         490489509688434  
